I0908 03:58:04.500406       1 controller.go:284] "configured acme dns01 nameservers" logger="cert-manager.controller.build-context" nameservers=["10.96.0.10:53"]
W0908 03:58:04.501164       1 client_config.go:659] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0908 03:58:04.510684       1 controller.go:89] "enabled controllers: [certificaterequests-approver certificaterequests-issuer-acme certificaterequests-issuer-ca certificaterequests-issuer-selfsigned certificaterequests-issuer-vault certificaterequests-issuer-venafi certificates-issuing certificates-key-manager certificates-metrics certificates-readiness certificates-request-manager certificates-revision-manager certificates-trigger challenges clusterissuers ingress-shim issuers orders]" logger="cert-manager.controller"
I0908 03:58:04.510697       1 controller.go:435] "serving insecurely as tls certificate data not provided" logger="cert-manager.controller"
I0908 03:58:04.510702       1 controller.go:102] "listening for insecure connections" logger="cert-manager.controller" address="0.0.0.0:9402"
I0908 03:58:04.511019       1 controller.go:178] "starting leader election" logger="cert-manager.controller"
I0908 03:58:04.511084       1 controller.go:127] "starting metrics server" logger="cert-manager.controller" address="[::]:9402"
I0908 03:58:04.511168       1 controller.go:171] "starting healthz server" logger="cert-manager.controller" address="[::]:9403"
I0908 03:58:04.512786       1 leaderelection.go:250] attempting to acquire leader lease kube-system/cert-manager-controller...
I0908 03:58:04.524684       1 leaderelection.go:260] successfully acquired lease kube-system/cert-manager-controller
I0908 03:58:04.528061       1 controller.go:225] "not starting controller as it's disabled" logger="cert-manager.controller" controller="certificatesigningrequests-issuer-ca"
I0908 03:58:04.528118       1 controller.go:248] "starting controller" logger="cert-manager.controller" controller="certificaterequests-issuer-vault"
I0908 03:58:04.530265       1 controller.go:248] "starting controller" logger="cert-manager.controller" controller="certificaterequests-approver"
I0908 03:58:04.531667       1 controller.go:248] "starting controller" logger="cert-manager.controller" controller="certificates-metrics"
I0908 03:58:04.533407       1 controller.go:225] "not starting controller as it's disabled" logger="cert-manager.controller" controller="certificatesigningrequests-issuer-acme"
I0908 03:58:04.533456       1 controller.go:225] "not starting controller as it's disabled" logger="cert-manager.controller" controller="certificatesigningrequests-issuer-selfsigned"
I0908 03:58:04.533467       1 controller.go:225] "not starting controller as it's disabled" logger="cert-manager.controller" controller="certificatesigningrequests-issuer-vault"
